arm,instrument,ipo_timeframe,window,direction,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,zone_high,zone_low,midpoint,touch_time,entry_time,entry_price,s2_price,target_price,risk_price,m1_entry_time,m1_target_time,s2_invalidation_time,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,frozen_engine_reason,precedence_disagreement,mae_r,mfe_r,bars_to_exit,holding_minutes,blocked_by,excluded_from_stats
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.1033,1.10345,1.1009,1.1021,1.10345,1.102175,1.102175,2022-03-17T05:00:00Z,2022-03-17T05:00:00Z,1.102175,1.1009,1.1047249999999997,0.001274999999999915,2022-03-17T05:37:00Z,2022-03-17T08:02:00Z,2022-03-22T00:00:00Z,2022-03-17T08:02:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,TARGET,false,0.3333333333332753,3.5098039215688663,3,145,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-10T12:00:00Z,1.104,1.11205,1.1034,1.1097,1.1077249999999998,1.1034,1.1077249999999998,2022-03-17T14:00:00Z,2022-03-17T14:00:00Z,1.1077249999999998,1.11205,1.0990749999999996,0.004325000000000134,2022-03-17T14:14:00Z,,2022-03-17T16:00:00Z,2022-03-17T16:00:00Z,1.1131,S2_CLOSE_INVALIDATION,-1.2427745664739798,0.03699421965317805,-1.2797687861271578,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.2890173410404473,0.2254335260115417,2,106,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,1.1123,1.1133,1.1116,1.1133,1.11245,1.1116,1.11245,2022-03-17T18:00:00Z,2022-03-17T18:00:00Z,1.11245,1.1133,1.11075,0.0008500000000000174,2022-03-17T18:00:00Z,2022-03-17T18:29:00Z,2022-03-30T08:00:00Z,2022-03-17T18:29:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,TARGET,false,0.35294117647054213,2.999999999999739,0,29,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.1033,1.10345,1.1009,1.1021,1.10345,1.102175,1.102175,2022-03-18T12:00:00Z,2022-03-18T12:00:00Z,1.102175,1.1009,1.1047249999999997,0.001274999999999915,2022-03-18T12:12:00Z,2022-03-18T15:53:00Z,2022-03-22T00:00:00Z,2022-03-18T15:53:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,TARGET,false,1.470588235294097,2.529411764706077,3,221,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-18T19:00:00Z,1.10475,1.1057,1.1046,1.1052,1.10515,1.1046,1.10515,2022-03-21T08:00:00Z,2022-03-21T08:00:00Z,1.10515,1.1057,1.1040500000000004,0.0005499999999998284,2022-03-21T08:00:00Z,2022-03-21T11:02:00Z,2022-03-29T11:00:00Z,2022-03-21T11:02:00Z,1.1040500000000004,TARGET,2,0.2909090909091817,1.7090909090908184,1M_RESOLVED,,TARGET,false,2.6363636363643703,4.636363636365178,3,182,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.1033,1.10345,1.1009,1.1021,1.10345,1.102175,1.102175,2022-03-21T18:00:00Z,2022-03-21T18:00:00Z,1.102175,1.1009,1.1047249999999997,0.001274999999999915,2022-03-21T18:06:00Z,,2022-03-22T00:00:00Z,2022-03-22T00:00:00Z,1.0987,S2_CLOSE_INVALIDATION,-2.7254901960785305,0.12549019607843975,-2.8509803921569703,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,3.1960784313726274,0.6862745098041094,6,354,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T09:00:00Z,1.09905,1.1001,1.0979,1.0985,1.1001,1.0990000000000002,1.0990000000000002,2022-03-22T04:00:00Z,2022-03-22T04:00:00Z,1.0990000000000002,1.0979,1.1012000000000004,0.001100000000000101,2022-03-22T04:16:00Z,,2022-03-22T06:00:00Z,2022-03-22T06:00:00Z,1.0968,S2_CLOSE_INVALIDATION,-2,0.14545454545453212,-2.145454545454532,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2,1.1818181818179432,2,104,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-21T22:00:00Z,1.1019,1.1026,1.1018,1.10205,1.1021999999999998,1.1018,1.1021999999999998,2022-03-22T12:00:00Z,2022-03-22T12:00:00Z,1.1021999999999998,1.1026,1.1013999999999995,0.000400000000000178,2022-03-22T12:16:00Z,2022-03-22T12:16:00Z,2022-03-22T13:00:00Z,2022-03-22T12:16:00Z,1.1013999999999995,TARGET,2,0.39999999999982205,1.600000000000178,1M_RESOLVED,,TARGET,false,3.124999999999098,5.749999999996808,0,0,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.1016,1.1041,1.1016,1.1041,1.10285,1.1016,1.10285,2022-03-22T17:00:00Z,2022-03-22T17:00:00Z,1.10285,1.1041,1.1003500000000002,0.0012499999999999734,2022-03-22T17:19:00Z,2022-03-23T09:41:00Z,2022-03-29T10:00:00Z,2022-03-23T09:41:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,TARGET,false,1.2399999999999787,3.1200000000000783,16,982,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,2022-03-23T15:00:00Z,2022-03-23T15:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T15:40:00Z,,2022-03-23T18:00:00Z,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,TARGET,true,0.6363636363637097,4.454545454545161,0,140,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,2022-03-23T17:00:00Z,2022-03-23T17:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T17:00:00Z,,2022-03-23T18:00:00Z,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.7272727272725805,0.8181818181818549,1,60,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.1016,1.1041,1.1016,1.1041,1.10285,1.1016,1.10285,2022-03-25T01:00:00Z,2022-03-25T01:00:00Z,1.10285,1.1041,1.1003500000000002,0.0012499999999999734,2022-03-25T01:44:00Z,2022-03-25T09:10:00Z,2022-03-29T10:00:00Z,2022-03-25T09:10:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,TARGET,false,0.7599999999998437,2.2000000000000712,8,446,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-28T08:00:00Z,1.0952,1.0998,1.0945,1.0991,1.09715,1.0945,1.09715,2022-03-28T15:00:00Z,2022-03-28T15:00:00Z,1.09715,1.0998,1.09185,0.002650000000000041,2022-03-28T15:00:00Z,,2022-03-29T06:00:00Z,2022-03-29T06:00:00Z,1.1005,S2_CLOSE_INVALIDATION,-1.2641509433961933,0.0603773584905651,-1.3245283018867584,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.4339622641509306,0.20754716981133656,15,900,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T00:00:00Z,1.09925,1.0997,1.097,1.0974,1.0997,1.09835,1.09835,2022-03-29T08:00:00Z,2022-03-29T08:00:00Z,1.09835,1.097,1.1010499999999999,0.0013499999999999623,2022-03-29T08:52:00Z,2022-03-29T09:08:00Z,2022-04-04T17:00:00Z,2022-03-29T09:08:00Z,1.1010499999999999,TARGET,2,0.11851851851852184,1.8814814814814782,1M_RESOLVED,,TARGET,false,0.6296296296296601,4.629629629629824,1,16,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,1.1123,1.1133,1.1116,1.1133,1.11245,1.1116,1.11245,2022-03-29T12:00:00Z,2022-03-29T12:00:00Z,1.11245,1.1133,1.11075,0.0008500000000000174,2022-03-29T12:48:00Z,2022-03-29T13:03:00Z,2022-03-30T08:00:00Z,2022-03-29T13:03:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,TARGET,false,0.5294117647059439,5.352941176470281,0,15,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-02T16:00:00Z,1.1068,1.1145,1.1064,1.1103,1.1104500000000002,1.1064,1.1104500000000002,2022-03-29T13:00:00Z,2022-03-29T13:00:00Z,1.1104500000000002,1.1145,1.1023500000000004,0.004049999999999887,2022-03-29T13:00:00Z,,2022-03-30T08:00:00Z,2022-03-30T08:00:00Z,1.1156,S2_CLOSE_INVALIDATION,-1.2716049382715826,0.039506172839507275,-1.3111111111110898,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.2962962962962719,0.8024691358025402,19,1140,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T04:00:00Z,1.1115,1.1121,1.1109,1.1111,1.1121,1.1115,1.1115,2022-03-30T12:00:00Z,2022-03-30T12:00:00Z,1.1115,1.1109,1.1126999999999998,0.0005999999999999339,2022-03-30T12:29:00Z,2022-03-30T12:37:00Z,2022-03-31T10:00:00Z,2022-03-30T12:37:00Z,1.1126999999999998,TARGET,2,0.2666666666666961,1.7333333333333039,1M_RESOLVED,,TARGET,false,0.4166666666664816,4.250000000000555,0,8,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T17:00:00Z,1.1157,1.1157,1.1149,1.1149,1.1157,1.1153,1.1153,2022-03-31T06:00:00Z,2022-03-31T06:00:00Z,1.1153,1.1149,1.1160999999999999,0.00039999999999995595,2022-03-31T06:36:00Z,2022-03-31T06:39:00Z,2022-03-31T08:00:00Z,2022-03-31T06:39:00Z,1.1160999999999999,TARGET,2,0.4000000000000441,1.599999999999956,1M_RESOLVED,,TARGET,false,0.25,5.000000000000555,0,3,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T04:00:00Z,1.1115,1.1121,1.1109,1.1111,1.1121,1.1115,1.1115,2022-03-31T08:00:00Z,2022-03-31T08:00:00Z,1.1115,1.1109,1.1126999999999998,0.0005999999999999339,2022-03-31T08:43:00Z,2022-03-31T08:56:00Z,2022-03-31T10:00:00Z,2022-03-31T08:56:00Z,1.1126999999999998,TARGET,2,0.2666666666666961,1.7333333333333039,1M_RESOLVED,,TARGET,false,0.3333333333333333,6.00000000000074,0,13,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T17:00:00Z,1.108,1.1083,1.1072,1.1078,1.1083,1.10775,1.10775,2022-03-31T13:00:00Z,2022-03-31T13:00:00Z,1.10775,1.1072,1.1088500000000001,0.0005500000000000504,2022-03-31T13:13:00Z,2022-03-31T13:30:00Z,2022-03-31T18:00:00Z,2022-03-31T13:30:00Z,1.1088500000000001,TARGET,2,0.29090909090906425,1.7090909090909356,1M_RESOLVED,,TARGET,false,1.6363636363637097,5.454545454544757,0,17,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T23:00:00Z,1.1093,1.1095,1.109,1.1092,1.1095,1.1092499999999998,1.1092499999999998,2022-03-31T14:00:00Z,2022-03-31T14:00:00Z,1.1092499999999998,1.109,1.1097499999999996,0.00024999999999986144,2022-03-31T14:00:00Z,2022-03-31T14:54:00Z,2022-03-31T16:00:00Z,2022-03-31T14:54:00Z,1.1097499999999996,TARGET,2,0.6400000000003547,1.3599999999996453,1M_RESOLVED,,TARGET,false,8.600000000004263,16.200000000009414,0,54,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T17:00:00Z,1.108,1.1083,1.1072,1.1078,1.1083,1.10775,1.10775,2022-03-31T16:00:00Z,2022-03-31T16:00:00Z,1.10775,1.1072,1.1088500000000001,0.0005500000000000504,2022-03-31T16:36:00Z,2022-03-31T17:11:00Z,2022-03-31T18:00:00Z,2022-03-31T17:11:00Z,1.1088500000000001,TARGET,2,0.29090909090906425,1.7090909090909356,1M_RESOLVED,,TARGET,false,0.27272727272741953,2.9090909090907258,0,35,,false
IPO_1H_ONLY,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T00:00:00Z,1.09925,1.0997,1.097,1.0974,1.0997,1.09835,1.09835,2022-04-04T13:00:00Z,2022-04-04T13:00:00Z,1.09835,1.097,1.1010499999999999,0.0013499999999999623,2022-04-04T13:27:00Z,,2022-04-04T17:00:00Z,2022-04-04T17:00:00Z,1.0964,S2_CLOSE_INVALIDATION,-1.444444444444408,0.11851851851852184,-1.5629629629629298,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.518518518518476,1.4444444444445723,4,213,,false
