classification,arm,instrument,window,strategy_timeframe,direction,ipo_kind,ipo_origin_timestamp,ipo_open,ipo_high,ipo_low,ipo_close,ipo_zone_high,ipo_zone_low,ipo_midpoint,ipo_extent_invalidation,ipo_touch_timestamp,entry_timestamp,entry_price,s2_price,target_price,risk_price,bos_required,bos_confirmed_before_entry,bos_timestamp,bos_structural_level,bos_direction,bars_origin_to_bos,bars_bos_to_entry,one_minute_ordering_used,one_minute_entry_timestamp,one_minute_target_timestamp,one_minute_s2_ordering,exit_timestamp,exit_price,exit_reason,realized_r,cost_r,mae_r,mfe_r,excluded_from_stats,ambiguity
BOS_NEW_ENTRY_DUE_TO_FREED_SLOT,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-28T08:00:00Z,1.0952,1.0998,1.0945,1.0991,1.09715,1.0945,1.09715,1.0998,2022-03-29T00:00:00Z,2022-03-29T00:00:00Z,1.09715,1.0998,1.09185,0.002650000000000041,true,true,2022-03-28T13:00:00Z,1.0967,bearish,5,11,NO,,,,2022-03-29T06:00:00Z,1.1005,S2_CLOSE_INVALIDATION,-1.3245283018867584,0.0603773584905651,1.4339622641509306,0.05660377358494044,false,
BOS_NEW_ENTRY_DUE_TO_FREED_SLOT,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-23T05:00:00Z,1.10275,1.104,1.1027,1.1037,1.10335,1.1027,1.10335,1.104,2022-03-29T09:00:00Z,2022-03-29T09:00:00Z,1.10335,1.104,1.10205,0.0006500000000000394,true,true,2022-03-28T13:00:00Z,1.0967,bearish,82,20,NO,,,,2022-03-29T09:00:00Z,1.10205,TARGET,1.7538461538461687,0.24615384615383124,1.9230769230767655,8.999999999999659,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-30T17:00:00Z,1.1157,1.1157,1.1149,1.1149,1.1157,1.1153,1.1153,1.1149,2022-03-31T06:00:00Z,2022-03-31T06:00:00Z,1.1153,1.1149,1.1160999999999999,0.00039999999999995595,true,true,2022-03-31T01:00:00Z,1.1176,bullish,8,5,NO,,,,2022-03-31T06:00:00Z,1.1160999999999999,TARGET,1.599999999999956,0.4000000000000441,0.25,5.000000000000555,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-30T04:00:00Z,1.1115,1.1121,1.1109,1.1111,1.1121,1.1115,1.1115,1.1109,2022-03-31T08:00:00Z,2022-03-31T08:00:00Z,1.1115,1.1109,1.1126999999999998,0.0005999999999999339,true,true,2022-03-31T01:00:00Z,1.1176,bullish,21,7,NO,,,,2022-03-31T08:00:00Z,1.1126999999999998,TARGET,1.7333333333333039,0.2666666666666961,0.3333333333333333,6.00000000000074,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-29T17:00:00Z,1.108,1.1083,1.1072,1.1078,1.1083,1.10775,1.10775,1.1072,2022-03-31T13:00:00Z,2022-03-31T13:00:00Z,1.10775,1.1072,1.1088500000000001,0.0005500000000000504,true,true,2022-03-31T01:00:00Z,1.1176,bullish,32,12,NO,,,,2022-03-31T13:00:00Z,1.1088500000000001,TARGET,1.7090909090909356,0.29090909090906425,1.6363636363637097,5.454545454544757,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-29T23:00:00Z,1.1093,1.1095,1.109,1.1092,1.1095,1.1092499999999998,1.1092499999999998,1.109,2022-03-31T14:00:00Z,2022-03-31T14:00:00Z,1.1092499999999998,1.109,1.1097499999999996,0.00024999999999986144,true,true,2022-03-31T01:00:00Z,1.1176,bullish,26,13,NO,,,,2022-03-31T14:00:00Z,1.1097499999999996,TARGET,1.3599999999996453,0.6400000000003547,8.600000000004263,16.200000000009414,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-29T17:00:00Z,1.108,1.1083,1.1072,1.1078,1.1083,1.10775,1.10775,1.1072,2022-03-31T16:00:00Z,2022-03-31T16:00:00Z,1.10775,1.1072,1.1088500000000001,0.0005500000000000504,true,true,2022-03-31T01:00:00Z,1.1176,bullish,32,15,NO,,,,2022-03-31T16:00:00Z,1.1088500000000001,TARGET,1.7090909090909356,0.29090909090906425,0.27272727272741953,2.9090909090907258,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-29T00:00:00Z,1.09925,1.0997,1.097,1.0974,1.0997,1.09835,1.09835,1.097,2022-04-04T13:00:00Z,2022-04-04T13:00:00Z,1.09835,1.097,1.1010499999999999,0.0013499999999999623,true,true,2022-03-31T01:00:00Z,1.1176,bullish,49,62,NO,,,,2022-04-04T17:00:00Z,1.0964,S2_CLOSE_INVALIDATION,-1.5629629629629298,0.11851851851852184,1.518518518518476,1.4444444444445723,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-04-11T14:00:00Z,1.0881,1.08985,1.0879,1.0897,1.088875,1.0879,1.088875,1.08985,2022-04-13T16:00:00Z,2022-04-13T16:00:00Z,1.088875,1.08985,1.0869250000000001,0.0009749999999999481,true,true,2022-04-13T00:00:00Z,1.0816,bearish,34,16,NO,,,,2022-04-14T01:00:00Z,1.0906,S2_CLOSE_INVALIDATION,-1.9333333333334122,0.16410256410257285,2.0769230769231295,1.7179487179489048,false,
BOS_RETAINED,BOS_REQUIRED,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-04-18T19:00:00Z,1.0784,1.0785,1.0778,1.0784,1.07815,1.0778,1.07815,1.0785,2022-04-19T06:00:00Z,2022-04-19T06:00:00Z,1.07815,1.0785,1.0774499999999998,0.0003500000000000725,true,true,2022-04-19T02:00:00Z,1.0769,bearish,7,4,NO,,,,2022-04-19T06:00:00Z,1.0774499999999998,TARGET,1.5428571428572375,0.45714285714276254,1.8571428571425852,3.9999999999987312,false,SAME_BAR_ENTRY_AND_EXIT
