ipo_id,instrument,window,strategy_timeframe,barMs,original_direction,flipped_direction,ipo_origin_index,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,original_zone_high,original_zone_low,original_midpoint,original_extent,failure_index,failure_time,failure_close,retested,retest_index,retest_time,retest_touch_price,bars_failure_to_retest,max_distance_away,max_distance_away_atr,retest_penetration_pct,entry_price,stop_price,target_price,risk_price,atr_at_failure,atr_over_price_at_failure,atr_at_retest,atr_over_price_at_retest,atr_percentile_at_retest,range_expansion_at_retest,reclaimed_after_retest,m1_entry_time,m1_stop_time,m1_target_time,exit_time,exit_price,exit_reason,realized_r,cost_r,ordering_resolution,ambiguity_detail,excluded_from_stats,holding_minutes
EURUSD_2025-01-01#1536,EUR/USD,EURUSD_2025-01-01,1h,3600000,demand,short,1536,2025-03-17T00:00:00Z,1.08798,1.08834,1.08753,1.087973,1.08834,1.087935,1.087935,1.08753,1601,2025-03-19T17:00:00Z,1.08698,true,1602,2025-03-19T18:00:00Z,1.087935,1,0.0016249999999999876,0.9129213483145978,8.506172839506213,1.087935,1.08834,1.0871250000000001,0.0004049999999999887,0.0017800000000000038,0.0016375646286040256,0.002066428571428564,0.0018943340096535667,70.5,1.1609149277688537,true,2025-03-19T18:00:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-01-01#89,BTC/USD,BTCUSD_2025-01-01,1h,3600000,demand,short,89,2025-01-19T18:00:00Z,105115.8,105250,104902.27,105042.9,105250,105076.13500000001,105076.13500000001,104902.27,92,2025-01-19T21:00:00Z,103684.44,true,101,2025-01-20T06:00:00Z,105076.13500000001,9,5526.135000000009,5.467673850098502,25.95039254594215,105076.13500000001,105250,104728.40500000003,173.8649999999907,1010.692142857141,0.009747770667007903,2024.037857142856,0.018830623912238803,100,2.0026254992158865,true,2025-01-20T06:45:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-01-01#162,BTC/USD,BTCUSD_2025-01-01,1h,3600000,supply,long,162,2025-01-22T19:00:00Z,103896.01,104754.64,103853.66,104630,104304.15,103853.66,104304.15,104754.64,181,2025-01-23T14:00:00Z,105213.5,true,182,2025-01-23T15:00:00Z,104304.15,1,1487.8500000000058,1.4053451950524647,3.6863415392129086,104304.15,103853.66,105205.12999999998,450.4899999999907,1058.7078571428574,0.010062471613840974,1207.480714285714,0.011471027325380283,72.02380952380952,1.140523049998279,true,2025-01-23T15:07:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-01-01#1569,BTC/USD,BTCUSD_2025-01-01,1h,3600000,supply,long,1569,2025-03-22T10:00:00Z,84360.01,84440,84360,84413.62,84400,84360,84400,84440,1593,2025-03-23T10:00:00Z,84461.98,true,1717,2025-03-28T14:00:00Z,84400,124,4365.429999999993,26.071607740086243,6.279999999999927,84400,84360,84480,40,167.43999999999818,0.001982430437931933,550.5892857142857,0.006541239608205693,71.5,3.288278103883729,true,2025-03-28T14:10:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
EURUSD_2025-04-01#786,EUR/USD,EURUSD_2025-04-01,1h,3600000,supply,long,786,2025-05-01T08:00:00Z,1.131,1.13314,1.13097,1.13207,1.132055,1.13097,1.132055,1.13314,810,2025-05-02T08:00:00Z,1.13342,true,814,2025-05-02T12:00:00Z,1.132055,4,0.003495000000000026,2.246556473829227,1.5345622119815885,1.132055,1.13097,1.134225,0.0010850000000000026,0.0015557142857142794,0.0013725841133156987,0.002137857142857128,0.0018886331167683732,46.5,1.374196510560143,true,2025-05-02T12:30:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
EURUSD_2025-04-01#788,EUR/USD,EURUSD_2025-04-01,1h,3600000,supply,long,788,2025-05-01T10:00:00Z,1.13143,1.13347,1.13117,1.13309,1.13232,1.13117,1.13232,1.13347,811,2025-05-02T09:00:00Z,1.13512,true,814,2025-05-02T12:00:00Z,1.13232,3,0.002909999999999968,1.7218934911242405,1.6782608695652292,1.13232,1.13117,1.13462,0.0011499999999999844,0.001690000000000001,0.0014888293748678563,0.002137857142857128,0.0018886331167683732,46.5,1.2650042265426786,true,2025-05-02T12:30:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-04-01#484,BTC/USD,BTCUSD_2025-04-01,1h,3600000,demand,short,484,2025-05-07T05:00:00Z,96575.99,96576,96310.89,96380.96,96576,96443.445,96443.445,96310.89,496,2025-05-07T17:00:00Z,96307.54,true,497,2025-05-07T18:00:00Z,96443.445,1,550.3050000000076,1.4575299290179335,3.29663158688853,96443.445,96576,96178.33500000002,132.55499999999302,377.5599999999977,0.003920357637626272,427.10642857142585,0.004421685005924574,42.5,1.131227959983654,true,2025-05-07T18:00:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-04-01#1224,BTC/USD,BTCUSD_2025-04-01,1h,3600000,demand,short,1224,2025-06-07T01:00:00Z,104511.68,104567.89,104348.83,104453.56,104567.89,104458.36,104458.36,104348.83,1367,2025-06-13T00:00:00Z,103797.81,true,1370,2025-06-13T03:00:00Z,104458.36,3,1794.050000000003,2.020256699615441,1.201862503423727,104458.36,104567.89,104239.3,109.52999999999884,888.0307142857158,0.008555389697390685,997.6600000000014,0.00956738202265079,100,1.12345213284933,true,2025-06-13T03:54:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
EURUSD_2025-08-01#599,EUR/USD,EURUSD_2025-08-01,1h,3600000,supply,long,599,2025-08-22T22:00:00Z,1.17152,1.17152,1.17152,1.17152,1.17152,1.17152,1.17152,1.17152,727,2025-09-01T06:00:00Z,1.17265,true,728,2025-09-01T07:00:00Z,1.17152,1,0.0013300000000000534,1.3937125748503745,,1.17152,1.17152,1.17152,0,0.0009542857142857011,0.0008137856259631613,0.00099857142857142,0.0008516310135018167,4.5,1.046407185628748,true,2025-09-01T07:35:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
EURUSD_2025-08-01#1079,EUR/USD,EURUSD_2025-08-01,1h,3600000,supply,long,1079,2025-09-19T22:00:00Z,1.17442,1.17442,1.17442,1.17442,1.17442,1.17442,1.17442,1.17442,1088,2025-09-22T07:00:00Z,1.17485,true,1141,2025-09-24T12:00:00Z,1.17442,53,0.007560000000000011,10.41732283464574,,1.17442,1.17442,1.17442,0,0.0007257142857142819,0.0006177080356762838,0.0011935714285714447,0.0010164369596186947,52,1.6446850393701096,true,2025-09-24T12:44:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-08-01#76,BTC/USD,BTCUSD_2025-08-01,1h,3600000,supply,long,76,2025-08-21T05:00:00Z,113800.01,114010.83,113637,113995.12,113823.91500000001,113637,113823.91500000001,114010.83,109,2025-08-22T14:00:00Z,115808.23,true,162,2025-08-24T19:00:00Z,113823.91500000001,53,3605.1349999999948,4.666979513032288,16.82002514511875,113823.91500000001,113637,114197.74500000002,186.91500000000815,772.4771428571413,0.006670313006745214,601.8514285714294,0.005345039330119266,67.56756756756756,0.7791187533981615,true,2025-08-24T19:34:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
BTCUSD_2025-08-01#78,BTC/USD,BTCUSD_2025-08-01,1h,3600000,supply,long,78,2025-08-21T07:00:00Z,113807.2,113944.74,113582.43,113896.03,113763.58499999999,113582.43,113763.58499999999,113944.74,109,2025-08-22T14:00:00Z,115808.23,true,162,2025-08-24T19:00:00Z,113763.58499999999,53,3665.465000000011,4.745078911257685,17.021804532030647,113763.58499999999,113582.43,114125.89499999999,181.15499999999884,772.4771428571413,0.006670313006745214,601.8514285714294,0.005345039330119266,67.56756756756756,0.7791187533981615,true,2025-08-24T19:34:00Z,,,,,UNRESOLVED,,,EXECUTION_AMBIGUOUS,STOP_AND_TARGET_IN_SAME_1M_BAR,true,
