ipo_id,instrument,window,strategy_timeframe,barMs,original_direction,flipped_direction,ipo_origin_index,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,original_zone_high,original_zone_low,original_midpoint,original_extent,failure_index,failure_time,failure_close,retested,retest_index,retest_time,retest_touch_price,bars_failure_to_retest,max_distance_away,max_distance_away_atr,retest_penetration_pct,entry_price,stop_price,target_price,risk_price,atr_at_failure,atr_over_price_at_failure,atr_at_retest,atr_over_price_at_retest,atr_percentile_at_retest,range_expansion_at_retest,reclaimed_after_retest,m1_entry_time,m1_stop_time,m1_target_time,exit_time,exit_price,exit_reason,realized_r,cost_r,ordering_resolution,ambiguity_detail,excluded_from_stats,holding_minutes
EURUSD_2022-04-01#66,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,66,2022-03-23T05:00:00Z,1.10275,1.104,1.1027,1.1037,1.10335,1.1027,1.10335,1.104,169,2022-03-29T10:00:00Z,1.1047,true,170,2022-03-29T11:00:00Z,1.10335,1,0.006699999999999928,3.291228070175432,0.23076923076936215,1.10335,1.1027,1.1046500000000001,0.0006500000000000394,0.002035714285714268,0.0018427756727747513,0.00245357142857142,0.002213715368404764,100,1.2052631578947433,true,2022-03-29T11:35:00Z,,2022-03-29T11:41:00Z,2022-03-29T11:41:00Z,1.1046500000000001,TARGET,1.7538461538461687,0.24615384615383124,1M_RESOLVED,,false,6
EURUSD_2022-04-01#69,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,69,2022-03-23T08:00:00Z,1.1016,1.10235,1.1011,1.1017,1.101725,1.1011,1.101725,1.10235,110,2022-03-25T01:00:00Z,1.1033,true,117,2022-03-25T08:00:00Z,1.101725,7,0.002074999999999827,1.4488778054861546,1,1.101725,1.1011,1.1029750000000003,0.0006250000000000977,0.001432142857142866,0.0012980538902772284,0.0010321428571428623,0.0009369488536155251,10.679611650485436,0.720698254364089,true,2022-03-25T08:10:00Z,2022-03-25T08:10:00Z,,2022-03-25T08:10:00Z,1.1011,STOP,-1.25599999999996,0.25599999999996,1M_RESOLVED,,false,0
EURUSD_2022-04-01#71,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,71,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,1.1007,79,2022-03-23T18:00:00Z,1.10085,true,83,2022-03-23T22:00:00Z,1.10015,4,0.0010499999999999954,0.5999999999999928,0.0909090909088707,1.10015,1.0996,1.10125,0.0005500000000000504,0.0017500000000000135,0.0015896807012762985,0.0015857142857142697,0.0014411653964503041,68.11594202898551,0.9061224489795757,true,2022-03-23T22:17:00Z,,2022-03-24T00:15:00Z,2022-03-24T00:15:00Z,1.10125,TARGET,1.7090909090909356,0.29090909090906425,1M_RESOLVED,,false,118
EURUSD_2022-04-01#79,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,79,2022-03-23T18:00:00Z,1.1006,1.1011,1.1004,1.10085,1.1007500000000001,1.1004,1.1007500000000001,1.1011,110,2022-03-25T01:00:00Z,1.1033,true,118,2022-03-25T09:00:00Z,1.1007500000000001,8,0.003049999999999775,2.1296758104736453,1.8571428571425852,1.1007500000000001,1.1004,1.1014500000000003,0.0003500000000000725,0.001432142857142866,0.0012980538902772284,0.001082142857142841,0.0009833192704614638,16.346153846153847,0.7556109725685626,true,2022-03-25T09:09:00Z,2022-03-25T09:10:00Z,,2022-03-25T09:10:00Z,1.1004,STOP,-1.4571428571427625,0.45714285714276254,1M_RESOLVED,,false,1
EURUSD_2022-04-01#82,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,82,2022-03-23T21:00:00Z,1.1004,1.1012,1.1004,1.10075,1.1008,1.1004,1.1008,1.1012,110,2022-03-25T01:00:00Z,1.1033,true,118,2022-03-25T09:00:00Z,1.1008,8,0.0029999999999998916,2.094763092269238,1.75,1.1008,1.1004,1.1016,0.00039999999999995595,0.001432142857142866,0.0012980538902772284,0.001082142857142841,0.0009833192704614638,16.346153846153847,0.7556109725685626,true,2022-03-25T09:09:00Z,2022-03-25T09:10:00Z,,2022-03-25T09:10:00Z,1.1004,STOP,-1.400000000000044,0.4000000000000441,1M_RESOLVED,,false,1
EURUSD_2022-04-01#84,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,84,2022-03-23T23:00:00Z,1.1004,1.10075,1.1003,1.1007,1.100525,1.1003,1.100525,1.10075,108,2022-03-24T23:00:00Z,1.1009,true,109,2022-03-25T00:00:00Z,1.100525,1,0.0005749999999999922,0.3926829268292594,0.5555555555554459,1.100525,1.1003,1.1009749999999998,0.0002249999999999197,0.0014642857142857274,0.0013300805834187731,0.001435714285714302,0.001304009342156496,48.421052631578945,0.9804878048780512,true,2022-03-25T00:05:00Z,,2022-03-25T00:18:00Z,2022-03-25T00:18:00Z,1.1009749999999998,TARGET,1.2888888888886352,0.7111111111113649,1M_RESOLVED,,false,13
EURUSD_2022-04-01#110,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,110,2022-03-25T01:00:00Z,1.1009,1.1035,1.1008,1.1033,1.10215,1.1008,1.10215,1.1035,168,2022-03-29T09:00:00Z,1.1038,true,265,2022-04-04T08:00:00Z,1.10215,97,0.016250000000000098,8.504672897196366,0.11111111111101973,1.10215,1.1008,1.1048499999999999,0.0013499999999999623,0.0019107142857142736,0.0017310330546423934,0.0009035714285714162,0.0008197889934416768,4,0.4728971962616788,true,2022-04-04T08:06:00Z,2022-04-04T10:09:00Z,,2022-04-04T10:09:00Z,1.1008,STOP,-1.1185185185185218,0.11851851851852184,1M_RESOLVED,,false,123
EURUSD_2022-04-01#113,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,113,2022-03-25T04:00:00Z,1.1028,1.1038,1.1026,1.1032,1.1032,1.1026,1.1032,1.1038,169,2022-03-29T10:00:00Z,1.1047,true,170,2022-03-29T11:00:00Z,1.1032,1,0.006850000000000023,3.364912280701795,0,1.1032,1.1026,1.1043999999999998,0.0005999999999999339,0.002035714285714268,0.0018427756727747513,0.00245357142857142,0.002213715368404764,100,1.2052631578947433,true,2022-03-29T11:35:00Z,,2022-03-29T11:41:00Z,2022-03-29T11:41:00Z,1.1043999999999998,TARGET,1.7333333333333039,0.2666666666666961,1M_RESOLVED,,false,6
EURUSD_2022-04-01#134,EUR/USD,EURUSD_2022-04-01,1h,3600000,supply,long,134,2022-03-27T23:00:00Z,1.0981,1.09845,1.0977,1.0981,1.098075,1.0977,1.098075,1.09845,143,2022-03-28T08:00:00Z,1.0991,true,144,2022-03-28T09:00:00Z,1.098075,1,0.0011250000000000426,0.86776859504135,2.8666666666663905,1.098075,1.0977,1.098825,0.0003750000000000142,0.0012964285714285792,0.0011795365038928026,0.0014000000000000043,0.0012750455373406232,49.23076923076923,1.0798898071625314,true,2022-03-28T09:06:00Z,2022-03-28T09:12:00Z,,2022-03-28T09:12:00Z,1.0977,STOP,-1.4266666666666505,0.42666666666665054,1M_RESOLVED,,false,6
EURUSD_2022-04-01#140,EUR/USD,EURUSD_2022-04-01,1h,3600000,demand,short,140,2022-03-28T05:00:00Z,1.0953,1.0954,1.0945,1.09515,1.0954,1.0949499999999999,1.0949499999999999,1.0945,295,2022-04-05T14:00:00Z,1.0939,true,374,2022-04-10T19:00:00Z,1.0949499999999999,79,0.011349999999999971,7.015452538631448,0.3333333333334978,1.0949499999999999,1.0954,1.0940499999999997,0.00045000000000006146,0.0016178571428571153,0.001478980841811057,0.002146428571428597,0.0019622695720881264,89,1.3267108167770802,false,2022-04-10T19:16:00Z,,2022-04-10T19:38:00Z,2022-04-10T19:38:00Z,1.0940499999999997,TARGET,1.644444444444493,0.355555555555507,1M_RESOLVED,,false,22
