classification,arm,instrument,window,strategy_timeframe,direction,ipo_kind,ipo_origin_timestamp,ipo_open,ipo_high,ipo_low,ipo_close,ipo_zone_high,ipo_zone_low,ipo_midpoint,ipo_extent_invalidation,ipo_touch_timestamp,entry_timestamp,entry_price,s2_price,target_price,risk_price,bos_required,bos_confirmed_before_entry,bos_timestamp,bos_structural_level,bos_direction,bars_origin_to_bos,bars_bos_to_entry,one_minute_ordering_used,one_minute_entry_timestamp,one_minute_target_timestamp,one_minute_s2_ordering,exit_timestamp,exit_price,exit_reason,realized_r,cost_r,mae_r,mfe_r,excluded_from_stats,ambiguity
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,1.1007,2022-03-23T15:00:00Z,2022-03-23T15:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,false,false,,,,,,NO,,,,2022-03-23T15:00:00Z,1.0990499999999999,TARGET,1.7090909090909356,0.29090909090906425,0.6363636363637097,4.454545454545161,false,SAME_BAR_ENTRY_AND_EXIT
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,1.1007,2022-03-23T17:00:00Z,2022-03-23T17:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,false,false,,,,,,NO,,,,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.5636363636364838,0.29090909090906425,1.7272727272725805,0.8181818181818549,false,
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-23T05:00:00Z,1.10275,1.104,1.1027,1.1037,1.10335,1.1027,1.10335,1.104,2022-03-25T01:00:00Z,2022-03-25T01:00:00Z,1.10335,1.104,1.10205,0.0006500000000000394,false,false,,,,,,NO,,,,2022-03-25T01:00:00Z,1.10205,TARGET,1.7538461538461687,0.24615384615383124,0.23076923076902056,3.9230769230767653,false,SAME_BAR_ENTRY_AND_EXIT
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-23T05:00:00Z,1.10275,1.104,1.1027,1.1037,1.10335,1.1027,1.10335,1.104,2022-03-25T03:00:00Z,2022-03-25T03:00:00Z,1.10335,1.104,1.10205,0.0006500000000000394,false,false,,,,,,NO,,,,2022-03-25T06:00:00Z,1.10205,TARGET,1.7538461538461687,0.24615384615383124,0.6923076923074033,2.1538461538461275,false,
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-25T01:00:00Z,1.1009,1.1035,1.1008,1.1033,1.10215,1.1008,1.10215,1.1035,2022-03-25T11:00:00Z,2022-03-25T11:00:00Z,1.10215,1.1035,1.09945,0.0013499999999999623,false,false,,,,,,NO,,,,2022-03-25T13:00:00Z,1.09945,TARGET,1.8814814814814782,0.11851851851852184,0.03703703703711623,2.111111111111184,false,
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-25T01:00:00Z,1.1009,1.1035,1.1008,1.1033,1.10215,1.1008,1.10215,1.1035,2022-03-25T15:00:00Z,2022-03-25T15:00:00Z,1.10215,1.1035,1.09945,0.0013499999999999623,false,false,,,,,,NO,,,,2022-03-25T15:00:00Z,1.09945,TARGET,1.8814814814814782,0.11851851851852184,0,2.925925925925932,false,SAME_BAR_ENTRY_AND_EXIT
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,supply,bearish_IPO_supply,2022-03-28T08:00:00Z,1.0952,1.0998,1.0945,1.0991,1.09715,1.0945,1.09715,1.0998,2022-03-28T13:00:00Z,2022-03-28T13:00:00Z,1.09715,1.0998,1.09185,0.002650000000000041,false,false,,,,,,NO,,,,2022-03-29T06:00:00Z,1.1005,S2_CLOSE_INVALIDATION,-1.3245283018867584,0.0603773584905651,1.4339622641509306,0.9245283018868019,false,
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-29T00:00:00Z,1.09925,1.0997,1.097,1.0974,1.0997,1.09835,1.09835,1.097,2022-03-29T08:00:00Z,2022-03-29T08:00:00Z,1.09835,1.097,1.1010499999999999,0.0013499999999999623,false,false,,,,,,NO,,,,2022-03-29T09:00:00Z,1.1010499999999999,TARGET,1.8814814814814782,0.11851851851852184,0.6296296296296601,4.629629629629824,false,
BOS_REMOVED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-30T04:00:00Z,1.1115,1.1121,1.1109,1.1111,1.1121,1.1115,1.1115,1.1109,2022-03-30T12:00:00Z,2022-03-30T12:00:00Z,1.1115,1.1109,1.1126999999999998,0.0005999999999999339,false,false,,,,,,NO,,,,2022-03-30T12:00:00Z,1.1126999999999998,TARGET,1.7333333333333039,0.2666666666666961,0.4166666666664816,4.250000000000555,false,SAME_BAR_ENTRY_AND_EXIT
BOS_RETAINED,CONTROL,EUR/USD,EURUSD_2022-04-01,1h,demand,bullish_IPO_demand,2022-03-30T17:00:00Z,1.1157,1.1157,1.1149,1.1149,1.1157,1.1153,1.1153,1.1149,2022-03-31T06:00:00Z,2022-03-31T06:00:00Z,1.1153,1.1149,1.1160999999999999,0.00039999999999995595,false,true,2022-03-31T01:00:00Z,1.1176,bullish,8,5,NO,,,,2022-03-31T06:00:00Z,1.1160999999999999,TARGET,1.599999999999956,0.4000000000000441,0.25,5.000000000000555,false,SAME_BAR_ENTRY_AND_EXIT
