arm,instrument,ipo_timeframe,window,direction,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,zone_high,zone_low,midpoint,touch_time,entry_time,entry_price,s2_price,target_price,risk_price,m1_entry_time,m1_target_time,s2_invalidation_time,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,frozen_engine_reason,precedence_disagreement,mae_r,mfe_r,bars_to_exit,holding_minutes,blocked_by,excluded_from_stats
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-25T08:00:00Z,1.0739,1.07545,1.072,1.0751,1.073725,1.072,1.073725,2022-05-24T12:00:00Z,2022-05-24T12:00:00Z,1.073725,1.07545,1.070275,0.0017249999999999766,2022-05-24T13:51:00Z,2022-05-25T05:44:00Z,2022-05-27T00:00:00Z,2022-05-25T05:44:00Z,1.070275,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,0.5652173913043255,2.391304347826081,0,953,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-25T08:00:00Z,1.0739,1.07545,1.072,1.0751,1.073725,1.072,1.073725,2022-05-24T20:00:00Z,2022-05-24T20:00:00Z,1.073725,1.07545,1.070275,0.0017249999999999766,2022-05-24T20:35:00Z,2022-05-25T05:44:00Z,2022-05-27T00:00:00Z,2022-05-25T05:44:00Z,1.070275,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,0.10144927536234123,3.1739130434783727,2,549,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-26T16:00:00Z,1.0726,1.0729,1.0702,1.0724,1.0729,1.07155,1.07155,2022-05-27T16:00:00Z,2022-05-27T16:00:00Z,1.07155,1.0702,1.07425,0.0013499999999999623,2022-05-27T16:00:00Z,2022-05-30T01:36:00Z,2022-06-01T12:00:00Z,2022-05-30T01:36:00Z,1.07425,TARGET,2,0.11851851851852184,1.8814814814814782,1M_RESOLVED,,TARGET,false,0.777777777777796,3,3,3456,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-27T12:00:00Z,1.0708,1.07505,1.07015,1.0707,1.07505,1.0726,1.0726,2022-05-31T16:00:00Z,2022-05-31T16:00:00Z,1.0726,1.07015,1.0775000000000001,0.0024500000000000632,2022-05-31T16:23:00Z,,2022-06-01T12:00:00Z,2022-06-01T12:00:00Z,1.0645,S2_CLOSE_INVALIDATION,-3.306122448979505,0.0653061224489779,-3.3714285714284826,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,4.040816326530516,0.8367346938775733,5,1177,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-25T12:00:00Z,1.066,1.0687,1.0643,1.0657,1.0687,1.0665,1.0665,2022-06-02T04:00:00Z,2022-06-02T04:00:00Z,1.0665,1.0643,1.0709,0.0021999999999999797,2022-06-02T04:00:00Z,2022-06-02T12:51:00Z,2022-06-09T16:00:00Z,2022-06-02T12:51:00Z,1.0709,TARGET,2,0.0727272727272734,1.9272727272727266,1M_RESOLVED,,TARGET,false,0.681818181818214,3.318181818181887,2,531,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-25T12:00:00Z,1.066,1.0687,1.0643,1.0657,1.0687,1.0665,1.0665,2022-06-07T12:00:00Z,2022-06-07T12:00:00Z,1.0665,1.0643,1.0709,0.0021999999999999797,2022-06-07T12:00:00Z,2022-06-07T14:49:00Z,2022-06-09T16:00:00Z,2022-06-07T14:49:00Z,1.0709,TARGET,2,0.0727272727272734,1.9272727272727266,1M_RESOLVED,,TARGET,false,0.5909090909091322,2.045454545454541,0,169,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-06-01T12:00:00Z,1.0709,1.073,1.0627,1.0645,1.073,1.06785,1.06785,2022-06-08T04:00:00Z,2022-06-08T04:00:00Z,1.06785,1.0627,1.07815,0.005149999999999988,2022-06-08T04:13:00Z,,2022-06-09T16:00:00Z,2022-06-09T16:00:00Z,1.06135,S2_CLOSE_INVALIDATION,-1.2621359223300903,0.03106796116504862,-1.293203883495139,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.2912621359223417,1.854368932038829,9,2147,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-18T16:00:00Z,1.0493,1.0498,1.04645,1.0465,1.0498,1.0481250000000002,1.0481250000000002,2022-06-13T04:00:00Z,2022-06-13T04:00:00Z,1.0481250000000002,1.04645,1.0514750000000004,0.001675000000000093,2022-06-13T04:43:00Z,,2022-06-13T08:00:00Z,2022-06-13T08:00:00Z,1.0446,S2_CLOSE_INVALIDATION,-2.104477611940314,0.09552238805969619,-2.2000000000000104,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2.164179104477618,0.8805970149252603,1,197,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-13T16:00:00Z,1.0412,1.0416,1.0394,1.04015,1.0416,1.0405000000000002,1.0405000000000002,2022-06-13T16:00:00Z,2022-06-13T16:00:00Z,1.0405000000000002,1.0394,1.0427000000000004,0.001100000000000101,2022-06-13T19:32:00Z,2022-06-14T03:48:00Z,2022-06-15T12:00:00Z,2022-06-14T03:48:00Z,1.0427000000000004,TARGET,2,0.14545454545453212,1.8545454545454678,1M_RESOLVED,,TARGET,false,0.09090909090927442,4.818181818181249,0,496,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-13T16:00:00Z,1.0412,1.0416,1.0394,1.04015,1.0416,1.0405000000000002,1.0405000000000002,2022-06-14T00:00:00Z,2022-06-14T00:00:00Z,1.0405000000000002,1.0394,1.0427000000000004,0.001100000000000101,2022-06-14T00:04:00Z,2022-06-14T03:48:00Z,2022-06-15T12:00:00Z,2022-06-14T03:48:00Z,1.0427000000000004,TARGET,2,0.14545454545453212,1.8545454545454678,1M_RESOLVED,,TARGET,false,0.7272727272727824,2.3636363636358864,0,224,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-06-20T04:00:00Z,1.0528,1.05425,1.0511,1.0517,1.05425,1.0526749999999998,1.0526749999999998,2022-06-21T16:00:00Z,2022-06-21T16:00:00Z,1.0526749999999998,1.0511,1.0558249999999996,0.001574999999999882,2022-06-21T18:48:00Z,,2022-06-22T04:00:00Z,2022-06-22T04:00:00Z,1.0505,S2_CLOSE_INVALIDATION,-1.3809523809523676,0.1015873015873092,-1.4825396825396768,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,3.6031746031747933,1.4126984126986095,3,552,,false
